3,1,1359.10,413.27,120.26,362.77,1,-1,-1,-1
3,2,573.32,410.03,101.08,305.19,1,-1,-1,-1
3,3,654.93,427.68,70.69,214.29,1,-1,-1,-1
3,4,729.09,450.76,39.00,118.87,1,-1,-1,-1
3,5,455.44,451.77,96.08,290.20,1,-1,-1,-1
4,1,1377.57,413.27,120.26,362.77,1,-1,-1,-1
4,2,586.11,425.23,99.58,300.67,1,-1,-1,-1
4,3,658.08,417.58,73.87,223.91,1,-1,-1,-1
4,4,729.97,447.54,41.11,125.29,1,-1,-1,-1
4,5,458.96,445.85,92.47,279.31,1,-1,-1,-1
4,8,1480.67,407.09,122.80,370.56,1,-1,-1,-1
5,1,1383.48,413.27,120.26,362.77,1,-1,-1,-1
5,2,585.31,441.10,89.25,269.49,1,-1,-1,-1
5,3,648.96,444.91,65.01,197.05,1,-1,-1,-1
5,4,730.19,446.56,41.78,127.34,1,-1,-1,-1
5,5,460.23,443.40,91.17,275.40,1,-1,-1,-1
5,8,1479.72,412.53,121.00,365.12,1,-1,-1,-1
5,9,1098.50,429.71,41.87,127.61,1,-1,-1,-1
6,1,1402.54,413.27,120.26,362.77,1,-1,-1,-1
6,2,588.63,442.91,90.18,272.31,1,-1,-1,-1
6,3,664.38,490.10,48.19,146.13,1,-1,-1,-1
6,4,730.20,446.33,41.99,127.99,1,-1,-1,-1
6,5,460.61,442.55,90.78,274.23,1,-1,-1,-1
6,8,1479.58,414.09,120.38,363.27,1,-1,-1,-1
6,9,1098.50,429.71,41.87,127.61,1,-1,-1,-1
7,1,1399.28,397.68,132.82,400.65,1,-1,-1,-1
7,2,591.63,437.89,95.14,287.29,1,-1,-1,-1
7,3,659.91,434.56,67.91,205.88,1,-1,-1,-1
7,4,730.15,446.32,42.04,128.14,1,-1,-1,-1
7,5,456.18,436.78,95.32,287.92,1,-1,-1,-1
7,8,1497.02,414.43,120.19,362.68,1,-1,-1,-1
8,1,1405.11,392.16,131.09,395.43,1,-1,-1,-1
8,2,592.61,436.07,96.87,292.53,1,-1,-1,-1
8,3,659.33,422.08,72.29,219.13,1,-1,-1,-1
8,4,730.10,446.37,42.04,128.13,1,-1,-1,-1
8,5,454.63,434.77,96.91,292.72,1,-1,-1,-1
8,8,1503.13,414.40,120.14,362.51,1,-1,-1,-1
8,10,1254.93,442.56,35.73,109.31,1,-1,-1,-1
9,1,1474.19,405.23,124.40,375.24,1,-1,-1,-1
9,2,592.85,435.29,97.51,294.44,1,-1,-1,-1
9,3,658.88,417.13,74.06,224.48,1,-1,-1,-1
9,4,730.06,446.44,42.02,128.08,1,-1,-1,-1
9,5,458.37,439.29,93.07,281.15,1,-1,-1,-1
